Project: hello_world
Revision: hello_world
Flow Start Date: Tue Mar 15 19:13:45 GMT 2016
Flow End Date: Tue Mar 15 21:27:06 GMT 2016

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C,14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C,16-slow-1200mV-85C,16-slow-1200mV-0C,16-fast-1200mV-0C,17-slow-1200mV-85C,17-slow-1200mV-0C,17-fast-1200mV-0C,18-slow-1200mV-85C,18-slow-1200mV-0C,18-fast-1200mV-0C,19-slow-1200mV-85C,19-slow-1200mV-0C,19-fast-1200mV-0C,20-slow-1200mV-85C,20-slow-1200mV-0C,20-fast-1200mV-0C,21-slow-1200mV-85C,21-slow-1200mV-0C,21-fast-1200mV-0C,22-slow-1200mV-85C,22-slow-1200mV-0C,22-fast-1200mV-0C,23-slow-1200mV-85C,23-slow-1200mV-0C,23-fast-1200mV-0C,24-slow-1200mV-85C,24-slow-1200mV-0C,24-fast-1200mV-0C,25-slow-1200mV-85C,25-slow-1200mV-0C,25-fast-1200mV-0C,26-slow-1200mV-85C,26-slow-1200mV-0C,26-fast-1200mV-0C,27-slow-1200mV-85C,27-slow-1200mV-0C,27-fast-1200mV-0C,28-slow-1200mV-85C,28-slow-1200mV-0C,28-fast-1200mV-0C,29-slow-1200mV-85C,29-slow-1200mV-0C,29-fast-1200mV-0C,30-slow-1200mV-85C,30-slow-1200mV-0C,30-fast-1200mV-0C,31-slow-1200mV-85C,31-slow-1200mV-0C,31-fast-1200mV-0C,32-slow-1200mV-85C,32-slow-1200mV-0C,32-fast-1200mV-0C,33-slow-1200mV-85C,33-slow-1200mV-0C,33-fast-1200mV-0C,34-slow-1200mV-85C,34-slow-1200mV-0C,34-fast-1200mV-0C,35-slow-1200mV-85C,35-slow-1200mV-0C,35-fast-1200mV-0C,36-slow-1200mV-85C,36-slow-1200mV-0C,36-fast-1200mV-0C,37-slow-1200mV-85C,37-slow-1200mV-0C,37-fast-1200mV-0C,38-slow-1200mV-85C,38-slow-1200mV-0C,38-fast-1200mV-0C,39-slow-1200mV-85C,39-slow-1200mV-0C,39-fast-1200mV-0C,40-slow-1200mV-85C,40-slow-1200mV-0C,40-fast-1200mV-0C,41-slow-1200mV-85C,41-slow-1200mV-0C,41-fast-1200mV-0C,42-slow-1200mV-85C,42-slow-1200mV-0C,42-fast-1200mV-0C,43-slow-1200mV-85C,43-slow-1200mV-0C,43-fast-1200mV-0C,44-slow-1200mV-85C,44-slow-1200mV-0C,44-fast-1200mV-0C,45-slow-1200mV-85C,45-slow-1200mV-0C,45-fast-1200mV-0C,46-slow-1200mV-85C,46-slow-1200mV-0C,46-fast-1200mV-0C,47-slow-1200mV-85C,47-slow-1200mV-0C,47-fast-1200mV-0C,48-slow-1200mV-85C,48-slow-1200mV-0C,48-fast-1200mV-0C,49-slow-1200mV-85C,49-slow-1200mV-0C,49-fast-1200mV-0C,50-slow-1200mV-85C,50-slow-1200mV-0C,50-fast-1200mV-0C
Clock Removal: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Removal: 'altera_reserved_tck': Worst-case Slack,1.238 ns,1.135 ns,0.661 ns,1.191 ns,1.081 ns,0.641 ns,1.011 ns,0.918 ns,0.537 ns,1.257 ns,1.152 ns,0.704 ns,0.945 ns,0.850 ns,0.515 ns,1.294 ns,1.183 ns,0.712 ns,0.984 ns,0.898 ns,0.526 ns,1.242 ns,1.127 ns,0.680 ns,1.198 ns,1.083 ns,0.650 ns,0.979 ns,0.888 ns,0.530 ns,1.257 ns,1.138 ns,0.683 ns,1.020 ns,0.935 ns,0.543 ns,1.016 ns,0.926 ns,0.540 ns,0.994 ns,0.901 ns,0.539 ns,1.174 ns,1.073 ns,0.634 ns,1.017 ns,0.924 ns,0.544 ns,0.969 ns,0.875 ns,0.526 ns,1.210 ns,1.112 ns,0.648 ns,1.189 ns,1.076 ns,0.642 ns,1.014 ns,0.925 ns,0.540 ns,0.981 ns,0.889 ns,0.523 ns,0.956 ns,0.858 ns,0.520 ns,0.994 ns,0.911 ns,0.531 ns,1.197 ns,1.095 ns,0.646 ns,0.998 ns,0.912 ns,0.533 ns,0.857 ns,0.775 ns,0.464 ns,1.160 ns,1.057 ns,0.630 ns,1.206 ns,1.094 ns,0.657 ns,1.256 ns,1.147 ns,0.682 ns,0.958 ns,0.865 ns,0.522 ns,1.156 ns,1.048 ns,0.628 ns,1.241 ns,1.139 ns,0.673 ns,1.287 ns,1.175 ns,0.727 ns,1.167 ns,1.061 ns,0.634 ns,1.299 ns,1.189 ns,0.710 ns,0.995 ns,0.912 ns,0.531 ns,0.961 ns,0.872 ns,0.523 ns,1.109 ns,0.999 ns,0.606 ns,0.974 ns,0.883 ns,0.531 ns,0.995 ns,0.909 ns,0.529 ns,0.984 ns,0.886 ns,0.538 ns,1.467 ns,1.354 ns,0.803 ns,0.987 ns,0.899 ns,0.526 ns,0.987 ns,0.894 ns,0.531 ns,1.025 ns,0.939 ns,0.548 ns,0.983 ns,0.895 ns,0.525 ns,0.945 ns,0.852 ns,0.515 ns,0.982 ns,0.898 ns,0.524 ns,1.240 ns,1.131 ns,0.675 ns,0.968 ns,0.874 ns,0.527 ns,1.277 ns,1.169 ns,0.706 ns
Clock Removal: 'sopc_clk': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Removal: 'sopc_clk': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Removal: 'sopc_clk': Worst-case Slack,2.764 ns,2.499 ns,1.544 ns,2.463 ns,2.227 ns,1.401 ns,2.730 ns,2.477 ns,1.555 ns,2.683 ns,2.397 ns,1.511 ns,2.797 ns,2.528 ns,1.606 ns,2.189 ns,1.969 ns,1.237 ns,2.716 ns,2.464 ns,1.538 ns,2.808 ns,2.537 ns,1.612 ns,2.623 ns,2.350 ns,1.484 ns,2.684 ns,2.422 ns,1.524 ns,3.568 ns,3.244 ns,2.049 ns,2.475 ns,2.238 ns,1.414 ns,2.734 ns,2.474 ns,1.563 ns,2.387 ns,2.162 ns,1.361 ns,2.580 ns,2.323 ns,1.460 ns,3.009 ns,2.728 ns,1.719 ns,2.976 ns,2.693 ns,1.723 ns,2.401 ns,2.156 ns,1.357 ns,2.856 ns,2.564 ns,1.605 ns,2.831 ns,2.546 ns,1.606 ns,2.748 ns,2.484 ns,1.555 ns,2.495 ns,2.247 ns,1.416 ns,3.098 ns,2.805 ns,1.734 ns,2.983 ns,2.673 ns,1.682 ns,3.057 ns,2.756 ns,1.737 ns,2.501 ns,2.261 ns,1.414 ns,2.697 ns,2.443 ns,1.532 ns,2.843 ns,2.574 ns,1.614 ns,3.286 ns,2.989 ns,1.904 ns,2.379 ns,2.127 ns,1.340 ns,2.678 ns,2.419 ns,1.519 ns,2.240 ns,2.016 ns,1.265 ns,2.738 ns,2.455 ns,1.536 ns,3.695 ns,3.357 ns,2.171 ns,3.757 ns,3.432 ns,2.197 ns,3.557 ns,3.194 ns,1.983 ns,2.611 ns,2.358 ns,1.489 ns,2.668 ns,2.398 ns,1.511 ns,2.224 ns,1.994 ns,1.275 ns,3.025 ns,2.738 ns,1.748 ns,2.658 ns,2.378 ns,1.494 ns,3.255 ns,2.897 ns,1.825 ns,2.455 ns,2.214 ns,1.397 ns,2.539 ns,2.296 ns,1.435 ns,2.005 ns,1.798 ns,1.143 ns,2.891 ns,2.620 ns,1.641 ns,2.871 ns,2.597 ns,1.649 ns,2.618 ns,2.357 ns,1.496 ns,4.062 ns,3.694 ns,2.351 ns,2.965 ns,2.686 ns,1.700 ns,3.167 ns,2.863 ns,1.803 ns
Clock Removal: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Clock Setup: 'altera_reserved_tck': Actual Time,64.683 ns,63.776 ns,54.915 ns,63.012 ns,62.228 ns,53.908 ns,64.433 ns,63.452 ns,54.795 ns,65.617 ns,64.599 ns,55.432 ns,63.452 ns,62.617 ns,54.201 ns,63.654 ns,62.775 ns,54.318 ns,62.500 ns,61.767 ns,53.619 ns,63.898 ns,63.052 ns,54.526 ns,64.226 ns,63.291 ns,54.675 ns,64.226 ns,63.291 ns,54.675 ns,64.103 ns,63.211 ns,54.675 ns,63.412 ns,62.617 ns,54.230 ns,62.578 ns,61.881 ns,53.706 ns,63.371 ns,62.578 ns,54.201 ns,64.558 ns,63.573 ns,54.855 ns,64.475 ns,63.532 ns,54.885 ns,64.433 ns,63.492 ns,54.825 ns,64.061 ns,63.171 ns,54.615 ns,66.050 ns,65.062 ns,55.741 ns,63.980 ns,63.091 ns,54.555 ns,65.402 ns,64.350 ns,55.432 ns,64.226 ns,63.291 ns,54.705 ns,64.641 ns,63.776 ns,54.825 ns,64.267 ns,63.412 ns,54.675 ns,63.532 ns,62.696 ns,54.318 ns,63.816 ns,62.972 ns,54.437 ns,64.767 ns,63.816 ns,55.066 ns,63.573 ns,62.735 ns,54.318 ns,63.694 ns,62.814 ns,54.377 ns,63.573 ns,62.775 ns,54.318 ns,64.103 ns,63.251 ns,54.555 ns,64.350 ns,63.452 ns,54.825 ns,64.020 ns,63.131 ns,54.615 ns,64.433 ns,63.452 ns,54.855 ns,63.052 ns,62.267 ns,53.967 ns,66.578 ns,65.617 ns,56.022 ns,64.144 ns,63.331 ns,54.615 ns,64.809 ns,63.898 ns,54.945 ns,63.171 ns,62.383 ns,54.025 ns,64.226 ns,63.291 ns,54.705 ns,64.103 ns,63.211 ns,54.645 ns,62.933 ns,62.150 ns,53.908 ns,63.654 ns,62.775 ns,54.348 ns,65.104 ns,64.185 ns,55.127 ns,64.516 ns,63.573 ns,54.945 ns,63.654 ns,62.814 ns,54.377 ns,64.144 ns,63.291 ns,54.645 ns,63.291 ns,62.461 ns,54.025 ns,64.641 ns,63.694 ns,54.975 ns,64.061 ns,63.211 ns,54.645 ns,64.350 ns,63.452 ns,54.795 ns
Clock Setup: 'altera_reserved_tck': Fmax,15.46 MHz,15.68 MHz,18.21 MHz,15.87 MHz,16.07 MHz,18.55 MHz,15.52 MHz,15.76 MHz,18.25 MHz,15.24 MHz,15.48 MHz,18.04 MHz,15.76 MHz,15.97 MHz,18.45 MHz,15.71 MHz,15.93 MHz,18.41 MHz,16.0 MHz,16.19 MHz,18.65 MHz,15.65 MHz,15.86 MHz,18.34 MHz,15.57 MHz,15.8 MHz,18.29 MHz,15.57 MHz,15.8 MHz,18.29 MHz,15.6 MHz,15.82 MHz,18.29 MHz,15.77 MHz,15.97 MHz,18.44 MHz,15.98 MHz,16.16 MHz,18.62 MHz,15.78 MHz,15.98 MHz,18.45 MHz,15.49 MHz,15.73 MHz,18.23 MHz,15.51 MHz,15.74 MHz,18.22 MHz,15.52 MHz,15.75 MHz,18.24 MHz,15.61 MHz,15.83 MHz,18.31 MHz,15.14 MHz,15.37 MHz,17.94 MHz,15.63 MHz,15.85 MHz,18.33 MHz,15.29 MHz,15.54 MHz,18.04 MHz,15.57 MHz,15.8 MHz,18.28 MHz,15.47 MHz,15.68 MHz,18.24 MHz,15.56 MHz,15.77 MHz,18.29 MHz,15.74 MHz,15.95 MHz,18.41 MHz,15.67 MHz,15.88 MHz,18.37 MHz,15.44 MHz,15.67 MHz,18.16 MHz,15.73 MHz,15.94 MHz,18.41 MHz,15.7 MHz,15.92 MHz,18.39 MHz,15.73 MHz,15.93 MHz,18.41 MHz,15.6 MHz,15.81 MHz,18.33 MHz,15.54 MHz,15.76 MHz,18.24 MHz,15.62 MHz,15.84 MHz,18.31 MHz,15.52 MHz,15.76 MHz,18.23 MHz,15.86 MHz,16.06 MHz,18.53 MHz,15.02 MHz,15.24 MHz,17.85 MHz,15.59 MHz,15.79 MHz,18.31 MHz,15.43 MHz,15.65 MHz,18.2 MHz,15.83 MHz,16.03 MHz,18.51 MHz,15.57 MHz,15.8 MHz,18.28 MHz,15.6 MHz,15.82 MHz,18.3 MHz,15.89 MHz,16.09 MHz,18.55 MHz,15.71 MHz,15.93 MHz,18.4 MHz,15.36 MHz,15.58 MHz,18.14 MHz,15.5 MHz,15.73 MHz,18.2 MHz,15.71 MHz,15.92 MHz,18.39 MHz,15.59 MHz,15.8 MHz,18.3 MHz,15.8 MHz,16.01 MHz,18.51 MHz,15.47 MHz,15.7 MHz,18.19 MHz,15.61 MHz,15.82 MHz,18.3 MHz,15.54 MHz,15.76 MHz,18.25 MHz
Clock Setup: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
